point_yr,fprop_1km,fprop_10km,bca,spp_rich,live_basal,dead_basal,total_basal,oak_prop,can_clos_prop,grass_prop,green_prop,litter_prop,shrub_dens,year,dist_edge,nearest_patch_size,mid_sd,mid_dens_2.5m,mid_dens_5m
CE045_2016,0.698584284,0.308457859,THOUSAND_ACRES,7,18,1,19,0.666666667,0.95,0.2,1,1,1.121794872,2016,51.914154,17424194.65,0.34797725,0.567754216,0.644603439
CE047_2016,0.578906936,0.287824089,THOUSAND_ACRES,5,16,0,16,0.6875,1,0.05,0.65,0.85,1.415598291,2016,124.171201,17424194.65,0.29606718,0.398192424,0.631114686
CE048_2016,0.65512511,0.289036619,THOUSAND_ACRES,4,18,2,20,0.888888889,1,0.1,0.7,0.9,1.25534188,2016,271.689497,17424194.65,0.237077645,0.742195241,0.411463174
CE049_2016,0.685524583,0.290464611,THOUSAND_ACRES,6,19,0,19,0.526315789,1,0.35,0.45,0.7,0.827991453,2016,447.90692,17424194.65,0.401765685,0.453716434,0.431116446
CE051_2016,0.674714662,0.30394047,THOUSAND_ACRES,4,16,4,20,0.625,0.85,0.6,0.15,1,0.881410256,2016,335.099713,17424194.65,0.320267423,0.587711097,0.385713814
CE052_2016,0.676854697,0.306172513,THOUSAND_ACRES,2,5,0,5,0.8,0.95,0.2,0.55,0.85,3.258547009,2016,127.004175,17424194.65,0.462110396,0.424648407,0.402577931
CE053_2016,0.682287094,0.306821701,THOUSAND_ACRES,3,6,0,6,0,0.9,0.75,0.9,0,3.525641026,2016,14.787536,17424194.65,0.390956492,0.055019432,0.357370654
CE055_2016,0.643766462,0.285491049,THOUSAND_ACRES,4,16,2,18,0.6875,0.9,0.05,0.85,1,2.083333333,2016,292.792018,17424194.65,0.328271261,0.344463009,0.662141225
CE056_2016,0.696224759,0.28715919,THOUSAND_ACRES,6,19,2,21,0.631578947,0.9,0,0.75,1,0.77457265,2016,530.056849,17424194.65,0.124013227,0.556238137,0.537005817
CE057_2016,0.710766023,0.288439613,THOUSAND_ACRES,4,17,4,21,0.882352941,1,0,0.8,1,1.442307692,2016,376.666106,17424194.65,0.346830945,0.505682451,0.437311672
CE060_2016,0.691560579,0.303605495,THOUSAND_ACRES,3,7,0,7,0,0.7,0.3,0.85,0.3,4.433760684,2016,16.437751,17424194.65,0.08429946,0.15351511,0.225871646
CE061_2016,0.689694908,0.305124945,THOUSAND_ACRES,3,4,1,5,0,0.85,0.45,0.75,0.05,3.739316239,2016,85.111123,17424194.65,0.234112889,0.532742627,0.515028244
CE063_2016,0.701986392,0.283425091,THOUSAND_ACRES,5,23,5,28,0.565217391,0.95,0,0.55,1,1.923076923,2016,408.68289,17424194.65,0.288574222,0.5644658,0.491968693
CE064_2016,0.733373573,0.285443917,THOUSAND_ACRES,4,11,3,14,0.636363636,0.85,0.25,0.5,0.9,1.148504274,2016,580.654977,17424194.65,0.39172412,0.646386227,0.34445424
CE065_2016,0.711863477,0.2865605,THOUSAND_ACRES,3,16,2,18,0.875,0.95,0,0.4,1,0.614316239,2016,429.414041,17424194.65,0.411659176,0.514817836,0.545108604
CE072_2016,0.704784899,0.280049534,THOUSAND_ACRES,4,17,0,17,0,0.95,0.7,0.65,0.1,0.721153846,2016,187.141447,17424194.65,0.45789032,0.31655899,0.35264606
CE073_2016,0.721466198,0.281506141,THOUSAND_ACRES,6,13,0,13,0.230769231,1,0.05,0.75,0.7,3.872863248,2016,180.948247,17424194.65,0.361424729,0.440596179,0.692439603
CE074_2016,0.714552239,0.283404331,THOUSAND_ACRES,5,17,1,18,0.176470588,0.95,0.1,0.55,0.15,1.442307692,2016,373.919348,17424194.65,0.322587218,0.626898874,0.656507081
